/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.3 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:330: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론6 목적지57 |  974스텝 | 배송 57/57 | 재적재  8 | 중계율 0.15 | alpha 0.100 | complete
Ep 2 | 드론3 목적지50 | 1000스텝 | 배송 44/50 | 재적재  8 | 중계율 0.17 | alpha 0.100 | step_limit
Ep 3 | 드론6 목적지72 |  954스텝 | 배송 72/72 | 재적재 13 | 중계율 0.15 | alpha 0.100 | complete
Ep 4 | 드론3 목적지46 | 1000스텝 | 배송 41/46 | 재적재  6 | 중계율 0.15 | alpha 0.099 | step_limit
Ep 5 | 드론4 목적지58 | 1000스텝 | 배송 53/58 | 재적재  7 | 중계율 0.38 | alpha 0.108 | step_limit
Ep 6 | 드론3 목적지61 | 1000스텝 | 배송 58/61 | 재적재  9 | 중계율 0.33 | alpha 0.119 | step_limit
Ep 7 | 드론3 목적지30 |  614스텝 | 배송 30/30 | 재적재  5 | 중계율 0.31 | alpha 0.125 | complete
Ep 8 | 드론3 목적지69 | 1000스텝 | 배송 63/69 | 재적재 11 | 중계율 0.34 | alpha 0.136 | step_limit
Ep 9 | 드론4 목적지66 | 1000스텝 | 배송 61/66 | 재적재 10 | 중계율 0.37 | alpha 0.148 | step_limit
Ep 10 | 드론4 목적지26 |  737스텝 | 배송 26/26 | 재적재  3 | 중계율 0.28 | alpha 0.156 | complete
Ep 11 | 드론6 목적지32 |  312스텝 | 배송 32/32 | 재적재  5 | 중계율 0.16 | alpha 0.160 | complete
Ep 12 | 드론4 목적지35 |  607스텝 | 배송 35/35 | 재적재  5 | 중계율 0.24 | alpha 0.167 | complete
Ep 13 | 드론4 목적지23 |  548스텝 | 배송 23/23 | 재적재  3 | 중계율 0.30 | alpha 0.174 | complete
Ep 14 | 드론3 목적지61 | 1000스텝 | 배송 45/61 | 재적재  8 | 중계율 0.22 | alpha 0.186 | step_limit
Ep 15 | 드론5 목적지78 | 1000스텝 | 배송 73/78 | 재적재 13 | 중계율 0.13 | alpha 0.200 | step_limit
Ep 16 | 드론6 목적지46 |  824스텝 | 배송 46/46 | 재적재  7 | 중계율 0.19 | alpha 0.211 | complete
Ep 17 | 드론5 목적지74 |  782스텝 | 배송 74/74 | 재적재 13 | 중계율 0.16 | alpha 0.221 | complete
Ep 18 | 드론4 목적지24 |  418스텝 | 배송 24/24 | 재적재  3 | 중계율 0.30 | alpha 0.227 | complete
Ep 19 | 드론5 목적지24 |  543스텝 | 배송 24/24 | 재적재  2 | 중계율 0.23 | alpha 0.234 | complete
Ep 20 | 드론4 목적지66 |  796스텝 | 배송 66/66 | 재적재 12 | 중계율 0.13 | alpha 0.245 | complete
Ep 21 | 드론4 목적지43 |  775스텝 | 배송 43/43 | 재적재  7 | 중계율 0.17 | alpha 0.257 | complete
Ep 22 | 드론4 목적지43 |  612스텝 | 배송 43/43 | 재적재  6 | 중계율 0.08 | alpha 0.267 | complete
Ep 23 | 드론3 목적지22 |  866스텝 | 배송 20/22 | 재적재  4 | 중계율 0.41 | alpha 0.281 | no_progress
Ep 24 | 드론4 목적지35 |  944스텝 | 배송 35/35 | 재적재  5 | 중계율 0.19 | alpha 0.298 | complete
Ep 25 | 드론5 목적지25 |  479스텝 | 배송 25/25 | 재적재  3 | 중계율 0.27 | alpha 0.306 | complete
Ep 26 | 드론4 목적지79 | 1000스텝 | 배송 70/79 | 재적재 11 | 중계율 0.13 | alpha 0.327 | step_limit
Ep 27 | 드론6 목적지63 | 1000스텝 | 배송 59/63 | 재적재 10 | 중계율 0.19 | alpha 0.349 | step_limit
Ep 28 | 드론3 목적지77 | 1000스텝 | 배송 62/77 | 재적재 11 | 중계율 0.20 | alpha 0.373 | step_limit
Ep 29 | 드론4 목적지34 | 1000스텝 | 배송 30/34 | 재적재  5 | 중계율 0.16 | alpha 0.401 | step_limit
Ep 30 | 드론4 목적지25 |  915스텝 | 배송 25/25 | 재적재  4 | 중계율 0.42 | alpha 0.428 | complete
Ep 31 | 드론6 목적지68 |  729스텝 | 배송 68/68 | 재적재 12 | 중계율 0.17 | alpha 0.452 | complete
Ep 32 | 드론4 목적지79 | 1000스텝 | 배송 71/79 | 재적재 12 | 중계율 0.26 | alpha 0.487 | step_limit
Ep 33 | 드론4 목적지62 | 1000스텝 | 배송 48/62 | 재적재  8 | 중계율 0.23 | alpha 0.526 | step_limit
Ep 34 | 드론4 목적지33 |  604스텝 | 배송 33/33 | 재적재  5 | 중계율 0.18 | alpha 0.551 | complete
Ep 35 | 드론4 목적지26 |  592스텝 | 배송 26/26 | 재적재  3 | 중계율 0.25 | alpha 0.577 | complete
Ep 36 | 드론4 목적지57 | 1000스텝 | 배송 51/57 | 재적재  7 | 중계율 0.31 | alpha 0.622 | step_limit
Ep 37 | 드론4 목적지29 |  636스텝 | 배송 29/29 | 재적재  4 | 중계율 0.33 | alpha 0.652 | complete
Ep 38 | 드론5 목적지63 |  813스텝 | 배송 63/63 | 재적재 11 | 중계율 0.29 | alpha 0.691 | complete
Ep 39 | 드론5 목적지44 |  780스텝 | 배송 44/44 | 재적재  6 | 중계율 0.33 | alpha 0.731 | complete
Ep 40 | 드론6 목적지56 |  588스텝 | 배송 56/56 | 재적재  9 | 중계율 0.20 | alpha 0.760 | complete
Ep 41 | 드론6 목적지21 |  191스텝 | 배송 21/21 | 재적재  0 | 중계율 0.19 | alpha 0.770 | complete
Ep 42 | 드론3 목적지24 |  463스텝 | 배송 24/24 | 재적재  2 | 중계율 0.26 | alpha 0.793 | complete
Ep 43 | 드론4 목적지52 |  662스텝 | 배송 52/52 | 재적재  9 | 중계율 0.22 | alpha 0.827 | complete
Ep 44 | 드론4 목적지72 |  724스텝 | 배송 72/72 | 재적재 12 | 중계율 0.17 | alpha 0.864 | complete
Ep 45 | 드론4 목적지52 | 1000스텝 | 배송 51/52 | 재적재  8 | 중계율 0.38 | alpha 0.916 | step_limit
Ep 46 | 드론6 목적지72 |  546스텝 | 배송 72/72 | 재적재 12 | 중계율 0.12 | alpha 0.947 | complete
Ep 47 | 드론4 목적지69 |  840스텝 | 배송 69/69 | 재적재 12 | 중계율 0.19 | alpha 0.995 | complete
Ep 48 | 드론4 목적지56 |  741스텝 | 배송 56/56 | 재적재  9 | 중계율 0.22 | alpha 1.042 | complete
Ep 49 | 드론6 목적지78 |  739스텝 | 배송 78/78 | 재적재 13 | 중계율 0.19 | alpha 1.091 | complete
Ep 50 | 드론5 목적지40 | 1000스텝 | 배송 38/40 | 재적재  6 | 중계율 0.35 | alpha 1.165 | step_limit
  [홀드아웃] 배송 49.8±1.1 완주 0.95 스텝 1111 점수 101.3 재적재 7.8 2홉+ 0.63 | 최고 101.3@ep50 정체 0/15  ← 갱신
Ep 51 | 드론6 목적지51 |  352스텝 | 배송 51/51 | 재적재  6 | 중계율 0.12 | alpha 1.192 | complete
Ep 52 | 드론3 목적지42 |  782스텝 | 배송 42/42 | 재적재  6 | 중계율 0.29 | alpha 1.255 | complete
Ep 53 | 드론6 목적지60 |  434스텝 | 배송 60/60 | 재적재  9 | 중계율 0.13 | alpha 1.291 | complete
Ep 54 | 드론4 목적지49 |  800스텝 | 배송 49/49 | 재적재  9 | 중계율 0.20 | alpha 1.359 | complete
Ep 55 | 드론4 목적지40 |  517스텝 | 배송 40/40 | 재적재  6 | 중계율 0.20 | alpha 1.402 | complete
Ep 56 | 드론5 목적지61 |  627스텝 | 배송 61/61 | 재적재 10 | 중계율 0.23 | alpha 1.453 | complete
Ep 57 | 드론3 목적지53 | 1000스텝 | 배송 50/53 | 재적재  9 | 중계율 0.32 | alpha 1.532 | step_limit
Ep 58 | 드론6 목적지57 |  539스텝 | 배송 57/57 | 재적재 10 | 중계율 0.23 | alpha 1.572 | complete
Ep 59 | 드론3 목적지50 |  975스텝 | 배송 50/50 | 재적재  9 | 중계율 0.27 | alpha 1.651 | complete
Ep 60 | 드론4 목적지21 |  474스텝 | 배송 21/21 | 재적재  3 | 중계율 0.31 | alpha 1.691 | complete
Ep 61 | 드론5 목적지26 |  441스텝 | 배송 26/26 | 재적재  4 | 중계율 0.25 | alpha 1.728 | complete
Ep 62 | 드론5 목적지55 |  986스텝 | 배송 55/55 | 재적재 10 | 중계율 0.30 | alpha 1.814 | complete
Ep 63 | 드론6 목적지68 |  599스텝 | 배송 68/68 | 재적재 12 | 중계율 0.20 | alpha 1.863 | complete
Ep 64 | 드론3 목적지41 | 1000스텝 | 배송 35/41 | 재적재  5 | 중계율 0.21 | alpha 1.936 | step_limit
Ep 65 | 드론5 목적지68 |  746스텝 | 배송 68/68 | 재적재 11 | 중계율 0.15 | alpha 1.980 | complete
Ep 66 | 드론3 목적지61 | 1000스텝 | 배송 56/61 | 재적재 10 | 중계율 0.18 | alpha 2.035 | step_limit
Ep 67 | 드론3 목적지53 | 1000스텝 | 배송 40/53 | 재적재  8 | 중계율 0.28 | alpha 2.095 | step_limit
Ep 68 | 드론3 목적지44 |  921스텝 | 배송 44/44 | 재적재  7 | 중계율 0.22 | alpha 2.136 | complete
Ep 69 | 드론4 목적지34 |  557스텝 | 배송 34/34 | 재적재  6 | 중계율 0.15 | alpha 2.155 | complete
Ep 70 | 드론4 목적지31 |  852스텝 | 배송 31/31 | 재적재  5 | 중계율 0.27 | alpha 2.188 | complete
Ep 71 | 드론5 목적지71 |  626스텝 | 배송 71/71 | 재적재 13 | 중계율 0.14 | alpha 2.189 | complete
Ep 72 | 드론3 목적지53 | 1000스텝 | 배송 43/53 | 재적재  7 | 중계율 0.29 | alpha 2.186 | step_limit
Ep 73 | 드론4 목적지21 |  465스텝 | 배송 21/21 | 재적재  3 | 중계율 0.23 | alpha 2.187 | complete
Ep 74 | 드론5 목적지45 |  596스텝 | 배송 45/45 | 재적재  7 | 중계율 0.19 | alpha 2.192 | complete
Ep 75 | 드론5 목적지40 |  835스텝 | 배송 40/40 | 재적재  7 | 중계율 0.18 | alpha 2.214 | complete
Ep 76 | 드론4 목적지75 | 1000스텝 | 배송 53/75 | 재적재  9 | 중계율 0.29 | alpha 2.224 | step_limit
Ep 77 | 드론5 목적지24 |  294스텝 | 배송 24/24 | 재적재  3 | 중계율 0.17 | alpha 2.225 | complete
Ep 78 | 드론4 목적지64 |  900스텝 | 배송 64/64 | 재적재 11 | 중계율 0.21 | alpha 2.244 | complete
Ep 79 | 드론3 목적지41 |  859스텝 | 배송 41/41 | 재적재  6 | 중계율 0.24 | alpha 2.249 | complete
Ep 80 | 드론3 목적지69 | 1000스텝 | 배송 59/69 | 재적재 11 | 중계율 0.23 | alpha 2.270 | step_limit
Ep 81 | 드론6 목적지47 |  548스텝 | 배송 47/47 | 재적재  6 | 중계율 0.11 | alpha 2.296 | complete
Ep 82 | 드론6 목적지69 |  855스텝 | 배송 69/69 | 재적재 12 | 중계율 0.23 | alpha 2.305 | complete
Ep 83 | 드론5 목적지31 |  600스텝 | 배송 31/31 | 재적재  5 | 중계율 0.23 | alpha 2.289 | complete
Ep 84 | 드론3 목적지33 |  738스텝 | 배송 33/33 | 재적재  6 | 중계율 0.23 | alpha 2.282 | complete
Ep 85 | 드론4 목적지38 |  685스텝 | 배송 38/38 | 재적재  6 | 중계율 0.18 | alpha 2.262 | complete
Ep 86 | 드론6 목적지24 |  419스텝 | 배송 24/24 | 재적재  2 | 중계율 0.20 | alpha 2.254 | complete
Ep 87 | 드론3 목적지30 |  784스텝 | 배송 30/30 | 재적재  5 | 중계율 0.27 | alpha 2.229 | complete
Ep 88 | 드론4 목적지38 |  768스텝 | 배송 38/38 | 재적재  7 | 중계율 0.24 | alpha 2.264 | complete
Ep 89 | 드론3 목적지57 | 1000스텝 | 배송 50/57 | 재적재  8 | 중계율 0.28 | alpha 2.290 | step_limit
Ep 90 | 드론6 목적지21 |  289스텝 | 배송 21/21 | 재적재  0 | 중계율 0.15 | alpha 2.290 | complete
Ep 91 | 드론6 목적지77 | 1000스텝 | 배송 75/77 | 재적재 13 | 중계율 0.22 | alpha 2.300 | step_limit
Ep 92 | 드론4 목적지69 |  991스텝 | 배송 69/69 | 재적재 12 | 중계율 0.30 | alpha 2.319 | complete
