/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 3] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론3 목적지75 | 1000스텝 | 배송 41/75 | 재적재  7 | 중계율 0.20 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지70 | 1000스텝 | 배송 50/70 | 재적재  8 | 중계율 0.17 | alpha 0.100 | step_limit
Ep 3 | 드론3 목적지50 | 1000스텝 | 배송 36/50 | 재적재  6 | 중계율 0.13 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지66 | 1000스텝 | 배송 47/66 | 재적재  8 | 중계율 0.14 | alpha 0.100 | step_limit
Ep 5 | 드론3 목적지30 | 1000스텝 | 배송 28/30 | 재적재  4 | 중계율 0.32 | alpha 0.105 | step_limit
Ep 6 | 드론3 목적지46 |  686스텝 | 배송 46/46 | 재적재  9 | 중계율 0.22 | alpha 0.112 | complete
Ep 7 | 드론3 목적지49 | 1000스텝 | 배송 45/49 | 재적재  9 | 중계율 0.32 | alpha 0.122 | step_limit
Ep 8 | 드론3 목적지25 |  416스텝 | 배송 25/25 | 재적재  3 | 중계율 0.32 | alpha 0.126 | complete
Ep 9 | 드론3 목적지61 | 1000스텝 | 배송 59/61 | 재적재 10 | 중계율 0.36 | alpha 0.137 | step_limit
Ep 10 | 드론3 목적지26 |  598스텝 | 배송 26/26 | 재적재  4 | 중계율 0.37 | alpha 0.143 | complete
Ep 11 | 드론3 목적지78 | 1000스텝 | 배송 51/78 | 재적재  9 | 중계율 0.27 | alpha 0.154 | step_limit
Ep 12 | 드론3 목적지69 | 1000스텝 | 배송 59/69 | 재적재 10 | 중계율 0.29 | alpha 0.165 | step_limit
Ep 13 | 드론3 목적지47 | 1000스텝 | 배송 38/47 | 재적재  5 | 중계율 0.25 | alpha 0.178 | step_limit
Ep 14 | 드론3 목적지44 | 1000스텝 | 배송 39/44 | 재적재  7 | 중계율 0.26 | alpha 0.191 | step_limit
Ep 15 | 드론3 목적지26 |  470스텝 | 배송 26/26 | 재적재  3 | 중계율 0.27 | alpha 0.198 | complete
Ep 16 | 드론3 목적지79 | 1000스텝 | 배송 56/79 | 재적재 10 | 중계율 0.25 | alpha 0.213 | step_limit
Ep 17 | 드론3 목적지37 | 1000스텝 | 배송 35/37 | 재적재  6 | 중계율 0.28 | alpha 0.229 | step_limit
Ep 18 | 드론3 목적지35 | 1000스텝 | 배송 34/35 | 재적재  5 | 중계율 0.30 | alpha 0.246 | step_limit
Ep 19 | 드론3 목적지40 |  781스텝 | 배송 40/40 | 재적재  7 | 중계율 0.27 | alpha 0.261 | complete
Ep 20 | 드론3 목적지59 | 1000스텝 | 배송 57/59 | 재적재 10 | 중계율 0.25 | alpha 0.281 | step_limit
Ep 21 | 드론3 목적지61 | 1000스텝 | 배송 55/61 | 재적재  9 | 중계율 0.29 | alpha 0.302 | step_limit
Ep 22 | 드론3 목적지63 | 1000스텝 | 배송 58/63 | 재적재 10 | 중계율 0.20 | alpha 0.325 | step_limit
Ep 23 | 드론3 목적지80 | 1000스텝 | 배송 53/80 | 재적재  8 | 중계율 0.25 | alpha 0.349 | step_limit
Ep 24 | 드론3 목적지46 | 1000스텝 | 배송 45/46 | 재적재  6 | 중계율 0.31 | alpha 0.375 | step_limit
Ep 25 | 드론3 목적지60 | 1000스텝 | 배송 55/60 | 재적재  9 | 중계율 0.28 | alpha 0.403 | step_limit
Ep 26 | 드론3 목적지25 |  449스텝 | 배송 25/25 | 재적재  2 | 중계율 0.40 | alpha 0.415 | complete
Ep 27 | 드론3 목적지24 |  545스텝 | 배송 24/24 | 재적재  3 | 중계율 0.34 | alpha 0.432 | complete
Ep 28 | 드론3 목적지54 | 1000스텝 | 배송 46/54 | 재적재  9 | 중계율 0.32 | alpha 0.463 | step_limit
