/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 3] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론3 목적지56 | 1000스텝 | 배송 46/56 | 재적재  8 | 중계율 0.07 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지67 | 1000스텝 | 배송 43/67 | 재적재  6 | 중계율 0.09 | alpha 0.100 | step_limit
Ep 3 | 드론3 목적지74 | 1000스텝 | 배송 61/74 | 재적재 10 | 중계율 0.07 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지57 | 1000스텝 | 배송 52/57 | 재적재  9 | 중계율 0.11 | alpha 0.100 | step_limit
Ep 5 | 드론3 목적지66 | 1000스텝 | 배송 60/66 | 재적재 11 | 중계율 0.20 | alpha 0.104 | step_limit
Ep 6 | 드론3 목적지23 |  746스텝 | 배송 13/23 | 재적재  0 | 중계율 0.45 | alpha 0.112 | no_progress
Ep 7 | 드론3 목적지41 |  610스텝 | 배송 41/41 | 재적재  7 | 중계율 0.31 | alpha 0.119 | complete
Ep 8 | 드론3 목적지71 | 1000스텝 | 배송 70/71 | 재적재 13 | 중계율 0.26 | alpha 0.129 | step_limit
Ep 9 | 드론3 목적지68 | 1000스텝 | 배송 67/68 | 재적재 12 | 중계율 0.30 | alpha 0.140 | step_limit
Ep 10 | 드론3 목적지75 | 1000스텝 | 배송 56/75 | 재적재 10 | 중계율 0.25 | alpha 0.151 | step_limit
Ep 11 | 드론3 목적지48 |  867스텝 | 배송 48/48 | 재적재  8 | 중계율 0.25 | alpha 0.161 | complete
