/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.2@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론4 목적지57 | 1000스텝 | 배송 51/57 | 재적재  8 | 중계율 0.14 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.20 | alpha 0.100 | step_limit
Ep 3 | 드론4 목적지72 | 1000스텝 | 배송 55/72 | 재적재  9 | 중계율 0.15 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지46 | 1000스텝 | 배송 38/46 | 재적재  7 | 중계율 0.16 | alpha 0.100 | step_limit
Ep 5 | 드론3 목적지58 | 1000스텝 | 배송 45/58 | 재적재  6 | 중계율 0.35 | alpha 0.104 | step_limit
Ep 6 | 드론3 목적지61 | 1000스텝 | 배송 58/61 | 재적재  9 | 중계율 0.38 | alpha 0.115 | step_limit
Ep 7 | 드론3 목적지30 |  617스텝 | 배송 11/30 | 재적재  0 | 중계율 0.48 | alpha 0.122 | no_progress
Ep 8 | 드론3 목적지69 | 1000스텝 | 배송 60/69 | 재적재 10 | 중계율 0.33 | alpha 0.132 | step_limit
Ep 9 | 드론3 목적지66 | 1000스텝 | 배송 55/66 | 재적재  9 | 중계율 0.26 | alpha 0.143 | step_limit
Ep 10 | 드론3 목적지26 |  549스텝 | 배송 26/26 | 재적재  4 | 중계율 0.32 | alpha 0.149 | complete
Ep 11 | 드론4 목적지32 |  372스텝 | 배송 32/32 | 재적재  4 | 중계율 0.26 | alpha 0.153 | complete
Ep 12 | 드론3 목적지35 |  595스텝 | 배송 35/35 | 재적재  5 | 중계율 0.23 | alpha 0.160 | complete
Ep 13 | 드론3 목적지23 |  384스텝 | 배송 23/23 | 재적재  3 | 중계율 0.34 | alpha 0.165 | complete
Ep 14 | 드론3 목적지61 | 1000스텝 | 배송 50/61 | 재적재  9 | 중계율 0.34 | alpha 0.177 | step_limit
Ep 15 | 드론4 목적지78 |  889스텝 | 배송 78/78 | 재적재 14 | 중계율 0.24 | alpha 0.189 | complete
Ep 16 | 드론4 목적지46 |  628스텝 | 배송 46/46 | 재적재  7 | 중계율 0.27 | alpha 0.198 | complete
Ep 17 | 드론4 목적지74 | 1000스텝 | 배송 71/74 | 재적재 13 | 중계율 0.24 | alpha 0.213 | step_limit
Ep 18 | 드론3 목적지24 |  531스텝 | 배송 24/24 | 재적재  3 | 중계율 0.34 | alpha 0.221 | complete
Ep 19 | 드론4 목적지24 |  628스텝 | 배송 24/24 | 재적재  3 | 중계율 0.40 | alpha 0.231 | complete
Ep 20 | 드론3 목적지66 | 1000스텝 | 배송 55/66 | 재적재  9 | 중계율 0.23 | alpha 0.249 | step_limit
Ep 21 | 드론3 목적지43 |  798스텝 | 배송 43/43 | 재적재  7 | 중계율 0.18 | alpha 0.263 | complete
Ep 22 | 드론3 목적지43 |  631스텝 | 배송 43/43 | 재적재  6 | 중계율 0.15 | alpha 0.276 | complete
Ep 23 | 드론3 목적지22 |  678스텝 | 배송 22/22 | 재적재  3 | 중계율 0.32 | alpha 0.289 | complete
Ep 24 | 드론3 목적지35 |  534스텝 | 배송 35/35 | 재적재  4 | 중계율 0.26 | alpha 0.301 | complete
Ep 25 | 드론4 목적지25 |  456스텝 | 배송 25/25 | 재적재  3 | 중계율 0.37 | alpha 0.311 | complete
Ep 26 | 드론3 목적지79 | 1000스텝 | 배송 67/79 | 재적재 12 | 중계율 0.22 | alpha 0.334 | step_limit
Ep 27 | 드론4 목적지63 | 1000스텝 | 배송 52/63 | 재적재  7 | 중계율 0.41 | alpha 0.359 | step_limit
Ep 28 | 드론3 목적지77 | 1000스텝 | 배송 56/77 | 재적재  9 | 중계율 0.22 | alpha 0.385 | step_limit
