/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.2@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론4 목적지43 | 1000스텝 | 배송 40/43 | 재적재  6 | 중계율 0.09 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지74 | 1000스텝 | 배송 58/74 | 재적재 11 | 중계율 0.08 | alpha 0.100 | step_limit
Ep 3 | 드론4 목적지43 | 1000스텝 | 배송 39/43 | 재적재  6 | 중계율 0.06 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지23 | 1000스텝 | 배송 18/23 | 재적재  2 | 중계율 0.10 | alpha 0.100 | step_limit
Ep 5 | 드론3 목적지31 | 1000스텝 | 배송 22/31 | 재적재  3 | 중계율 0.21 | alpha 0.099 | step_limit
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 67/68 | 재적재 11 | 중계율 0.23 | alpha 0.109 | step_limit
Ep 7 | 드론4 목적지44 |  632스텝 | 배송 44/44 | 재적재  7 | 중계율 0.30 | alpha 0.116 | complete
Ep 8 | 드론4 목적지30 |  439스텝 | 배송 30/30 | 재적재  3 | 중계율 0.32 | alpha 0.121 | complete
Ep 9 | 드론4 목적지42 |  643스텝 | 배송 42/42 | 재적재  6 | 중계율 0.34 | alpha 0.128 | complete
Ep 10 | 드론4 목적지47 |  695스텝 | 배송 47/47 | 재적재  9 | 중계율 0.33 | alpha 0.136 | complete
Ep 11 | 드론4 목적지21 |  653스텝 | 배송 21/21 | 재적재  2 | 중계율 0.23 | alpha 0.143 | complete
Ep 12 | 드론3 목적지37 |  529스텝 | 배송 37/37 | 재적재  6 | 중계율 0.22 | alpha 0.149 | complete
Ep 13 | 드론4 목적지28 |  370스텝 | 배송 28/28 | 재적재  3 | 중계율 0.20 | alpha 0.153 | complete
Ep 14 | 드론3 목적지41 |  757스텝 | 배송 41/41 | 재적재  7 | 중계율 0.27 | alpha 0.162 | complete
Ep 15 | 드론3 목적지66 | 1000스텝 | 배송 58/66 | 재적재  9 | 중계율 0.28 | alpha 0.175 | step_limit
Ep 16 | 드론3 목적지71 | 1000스텝 | 배송 64/71 | 재적재 11 | 중계율 0.28 | alpha 0.188 | step_limit
Ep 17 | 드론3 목적지24 |  948스텝 | 배송 20/24 | 재적재  3 | 중계율 0.32 | alpha 0.202 | no_progress
Ep 18 | 드론4 목적지49 |  744스텝 | 배송 49/49 | 재적재  8 | 중계율 0.31 | alpha 0.213 | complete
Ep 19 | 드론4 목적지34 |  566스텝 | 배송 34/34 | 재적재  5 | 중계율 0.26 | alpha 0.221 | complete
Ep 20 | 드론3 목적지48 | 1000스텝 | 배송 47/48 | 재적재  9 | 중계율 0.27 | alpha 0.238 | step_limit
Ep 21 | 드론3 목적지63 | 1000스텝 | 배송 60/63 | 재적재 10 | 중계율 0.29 | alpha 0.255 | step_limit
Ep 22 | 드론4 목적지46 |  820스텝 | 배송 46/46 | 재적재  7 | 중계율 0.32 | alpha 0.271 | complete
