/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.15->-1.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론5 목적지43 | 1000스텝 | 배송 41/43 | 재적재  6 | 중계율 0.08 | alpha 0.100 | step_limit
Ep 2 | 드론4 목적지74 | 1000스텝 | 배송 69/74 | 재적재 13 | 중계율 0.09 | alpha 0.100 | step_limit
Ep 3 | 드론5 목적지43 | 1000스텝 | 배송 39/43 | 재적재  6 | 중계율 0.07 | alpha 0.100 | step_limit
Ep 4 | 드론4 목적지23 | 1000스텝 | 배송 19/23 | 재적재  1 | 중계율 0.12 | alpha 0.100 | step_limit
Ep 5 | 드론4 목적지31 |  696스텝 | 배송 31/31 | 재적재  5 | 중계율 0.22 | alpha 0.098 | complete
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 52/68 | 재적재  9 | 중계율 0.20 | alpha 0.095 | step_limit
Ep 7 | 드론6 목적지44 |  400스텝 | 배송 44/44 | 재적재  6 | 중계율 0.22 | alpha 0.095 | complete
Ep 8 | 드론6 목적지30 |  258스텝 | 배송 30/30 | 재적재  3 | 중계율 0.22 | alpha 0.095 | complete
Ep 9 | 드론6 목적지42 |  553스텝 | 배송 42/42 | 재적재  7 | 중계율 0.22 | alpha 0.096 | complete
Ep 10 | 드론6 목적지47 |  384스텝 | 배송 47/47 | 재적재  6 | 중계율 0.20 | alpha 0.097 | complete
Ep 11 | 드론5 목적지21 |  309스텝 | 배송 21/21 | 재적재  2 | 중계율 0.16 | alpha 0.098 | complete
Ep 12 | 드론3 목적지37 |  783스텝 | 배송 37/37 | 재적재  6 | 중계율 0.22 | alpha 0.101 | complete
Ep 13 | 드론6 목적지28 |  274스텝 | 배송 28/28 | 재적재  2 | 중계율 0.12 | alpha 0.102 | complete
Ep 14 | 드론3 목적지41 |  676스텝 | 배송 41/41 | 재적재  6 | 중계율 0.24 | alpha 0.104 | complete
Ep 15 | 드론3 목적지66 | 1000스텝 | 배송 61/66 | 재적재 10 | 중계율 0.28 | alpha 0.109 | step_limit
Ep 16 | 드론4 목적지71 | 1000스텝 | 배송 70/71 | 재적재 12 | 중계율 0.29 | alpha 0.114 | step_limit
Ep 17 | 드론4 목적지24 |  532스텝 | 배송 24/24 | 재적재  4 | 중계율 0.29 | alpha 0.117 | complete
Ep 18 | 드론5 목적지49 |  500스텝 | 배송 49/49 | 재적재  8 | 중계율 0.15 | alpha 0.119 | complete
Ep 19 | 드론6 목적지34 |  428스텝 | 배송 34/34 | 재적재  6 | 중계율 0.22 | alpha 0.121 | complete
Ep 20 | 드론3 목적지48 |  894스텝 | 배송 48/48 | 재적재  7 | 중계율 0.27 | alpha 0.126 | complete
Ep 21 | 드론4 목적지63 |  723스텝 | 배송 63/63 | 재적재 10 | 중계율 0.23 | alpha 0.130 | complete
Ep 22 | 드론6 목적지46 |  460스텝 | 배송 46/46 | 재적재  6 | 중계율 0.17 | alpha 0.132 | complete
Ep 23 | 드론3 목적지44 |  927스텝 | 배송 44/44 | 재적재  7 | 중계율 0.29 | alpha 0.136 | complete
Ep 24 | 드론5 목적지41 |  409스텝 | 배송 41/41 | 재적재  5 | 중계율 0.15 | alpha 0.138 | complete
Ep 25 | 드론5 목적지38 |  494스텝 | 배송 38/38 | 재적재  5 | 중계율 0.22 | alpha 0.139 | complete
Ep 26 | 드론5 목적지77 |  782스텝 | 배송 77/77 | 재적재 13 | 중계율 0.19 | alpha 0.141 | complete
Ep 27 | 드론3 목적지41 |  931스텝 | 배송 41/41 | 재적재  6 | 중계율 0.28 | alpha 0.142 | complete
Ep 28 | 드론5 목적지52 |  804스텝 | 배송 52/52 | 재적재  8 | 중계율 0.26 | alpha 0.142 | complete
Ep 29 | 드론5 목적지72 | 1000스텝 | 배송 61/72 | 재적재  8 | 중계율 0.24 | alpha 0.143 | step_limit
Ep 30 | 드론5 목적지61 |  817스텝 | 배송 61/61 | 재적재 10 | 중계율 0.27 | alpha 0.143 | complete
Ep 31 | 드론5 목적지45 |  459스텝 | 배송 45/45 | 재적재  8 | 중계율 0.13 | alpha 0.144 | complete
Ep 32 | 드론3 목적지68 | 1000스텝 | 배송 55/68 | 재적재 10 | 중계율 0.25 | alpha 0.147 | step_limit
Ep 33 | 드론3 목적지35 |  939스텝 | 배송 21/35 | 재적재  3 | 중계율 0.32 | alpha 0.149 | no_progress
Ep 34 | 드론3 목적지24 |  383스텝 | 배송 24/24 | 재적재  3 | 중계율 0.12 | alpha 0.150 | complete
Ep 35 | 드론3 목적지58 | 1000스텝 | 배송 47/58 | 재적재  8 | 중계율 0.23 | alpha 0.150 | step_limit
Ep 36 | 드론4 목적지64 |  914스텝 | 배송 64/64 | 재적재 10 | 중계율 0.27 | alpha 0.147 | complete
Ep 37 | 드론6 목적지58 | 1000스텝 | 배송 55/58 | 재적재  9 | 중계율 0.32 | alpha 0.146 | step_limit
Ep 38 | 드론3 목적지77 | 1000스텝 | 배송 61/77 | 재적재 11 | 중계율 0.31 | alpha 0.146 | step_limit
Ep 39 | 드론3 목적지28 |  552스텝 | 배송 28/28 | 재적재  4 | 중계율 0.29 | alpha 0.145 | complete
Ep 40 | 드론3 목적지37 |  673스텝 | 배송 37/37 | 재적재  7 | 중계율 0.21 | alpha 0.146 | complete
Ep 41 | 드론5 목적지59 |  624스텝 | 배송 59/59 | 재적재  9 | 중계율 0.14 | alpha 0.147 | complete
Ep 42 | 드론6 목적지58 |  482스텝 | 배송 58/58 | 재적재  9 | 중계율 0.19 | alpha 0.145 | complete
Ep 43 | 드론6 목적지20 |  243스텝 | 배송 20/20 | 재적재  1 | 중계율 0.18 | alpha 0.145 | complete
Ep 44 | 드론6 목적지30 |  228스텝 | 배송 30/30 | 재적재  3 | 중계율 0.12 | alpha 0.144 | complete
Ep 45 | 드론6 목적지39 |  403스텝 | 배송 39/39 | 재적재  5 | 중계율 0.16 | alpha 0.143 | complete
Ep 46 | 드론6 목적지32 |  298스텝 | 배송 32/32 | 재적재  5 | 중계율 0.14 | alpha 0.140 | complete
Ep 47 | 드론5 목적지35 |  883스텝 | 배송 24/35 | 재적재  3 | 중계율 0.29 | alpha 0.131 | no_progress
Ep 48 | 드론5 목적지39 |  528스텝 | 배송 39/39 | 재적재  5 | 중계율 0.24 | alpha 0.126 | complete
Ep 49 | 드론5 목적지47 |  665스텝 | 배송 47/47 | 재적재  7 | 중계율 0.22 | alpha 0.121 | complete
Ep 50 | 드론4 목적지72 | 1000스텝 | 배송 50/72 | 재적재  8 | 중계율 0.20 | alpha 0.113 | step_limit
  [홀드아웃] 배송 46.1±6.7 완주 0.61 스텝 1131 점수 67.5 재적재 7.1 2홉+ 0.65 | 최고 67.5@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지71 | 1000스텝 | 배송 50/71 | 재적재  9 | 중계율 0.23 | alpha 0.106 | step_limit
Ep 52 | 드론4 목적지45 |  506스텝 | 배송 45/45 | 재적재  7 | 중계율 0.15 | alpha 0.103 | complete
Ep 53 | 드론6 목적지64 |  458스텝 | 배송 64/64 | 재적재 10 | 중계율 0.15 | alpha 0.099 | complete
Ep 54 | 드론5 목적지24 |  853스텝 | 배송 24/24 | 재적재  4 | 중계율 0.32 | alpha 0.093 | complete
Ep 55 | 드론6 목적지60 |  534스텝 | 배송 60/60 | 재적재 10 | 중계율 0.22 | alpha 0.089 | complete
Ep 56 | 드론6 목적지20 |  223스텝 | 배송 20/20 | 재적재  0 | 중계율 0.13 | alpha 0.087 | complete
Ep 57 | 드론5 목적지61 |  589스텝 | 배송 61/61 | 재적재 10 | 중계율 0.20 | alpha 0.082 | complete
Ep 58 | 드론5 목적지77 |  908스텝 | 배송 77/77 | 재적재 14 | 중계율 0.21 | alpha 0.076 | complete
Ep 59 | 드론5 목적지40 |  695스텝 | 배송 40/40 | 재적재  6 | 중계율 0.24 | alpha 0.071 | complete
Ep 60 | 드론3 목적지76 | 1000스텝 | 배송 64/76 | 재적재 11 | 중계율 0.28 | alpha 0.064 | step_limit
Ep 61 | 드론5 목적지66 |  646스텝 | 배송 66/66 | 재적재 12 | 중계율 0.21 | alpha 0.061 | complete
Ep 62 | 드론5 목적지43 |  594스텝 | 배송 43/43 | 재적재  7 | 중계율 0.21 | alpha 0.057 | complete
Ep 63 | 드론5 목적지57 |  627스텝 | 배송 57/57 | 재적재 10 | 중계율 0.18 | alpha 0.054 | complete
Ep 64 | 드론3 목적지52 | 1000스텝 | 배송 51/52 | 재적재  8 | 중계율 0.26 | alpha 0.049 | step_limit
Ep 65 | 드론5 목적지42 |  388스텝 | 배송 42/42 | 재적재  6 | 중계율 0.14 | alpha 0.048 | complete
Ep 66 | 드론4 목적지41 |  655스텝 | 배송 41/41 | 재적재  7 | 중계율 0.19 | alpha 0.045 | complete
Ep 67 | 드론5 목적지23 |  292스텝 | 배송 23/23 | 재적재  3 | 중계율 0.07 | alpha 0.044 | complete
Ep 68 | 드론5 목적지77 |  660스텝 | 배송 77/77 | 재적재 13 | 중계율 0.13 | alpha 0.041 | complete
Ep 69 | 드론4 목적지48 |  566스텝 | 배송 48/48 | 재적재  9 | 중계율 0.11 | alpha 0.039 | complete
Ep 70 | 드론3 목적지69 | 1000스텝 | 배송 55/69 | 재적재 11 | 중계율 0.24 | alpha 0.036 | step_limit
Ep 71 | 드론5 목적지34 |  466스텝 | 배송 34/34 | 재적재  5 | 중계율 0.15 | alpha 0.035 | complete
Ep 72 | 드론5 목적지61 | 1000스텝 | 배송 56/61 | 재적재  8 | 중계율 0.32 | alpha 0.033 | step_limit
Ep 73 | 드론6 목적지50 |  561스텝 | 배송 50/50 | 재적재  7 | 중계율 0.21 | alpha 0.031 | complete
Ep 74 | 드론4 목적지70 |  905스텝 | 배송 70/70 | 재적재 12 | 중계율 0.19 | alpha 0.029 | complete
Ep 75 | 드론6 목적지21 |  157스텝 | 배송 21/21 | 재적재  1 | 중계율 0.08 | alpha 0.029 | complete
Ep 76 | 드론3 목적지49 | 1000스텝 | 배송 45/49 | 재적재  7 | 중계율 0.29 | alpha 0.027 | step_limit
Ep 77 | 드론4 목적지67 | 1000스텝 | 배송 60/67 | 재적재 10 | 중계율 0.28 | alpha 0.025 | step_limit
Ep 78 | 드론3 목적지34 |  737스텝 | 배송 34/34 | 재적재  5 | 중계율 0.20 | alpha 0.024 | complete
Ep 79 | 드론5 목적지31 |  495스텝 | 배송 31/31 | 재적재  4 | 중계율 0.20 | alpha 0.023 | complete
Ep 80 | 드론3 목적지44 |  706스텝 | 배송 44/44 | 재적재  8 | 중계율 0.20 | alpha 0.022 | complete
Ep 81 | 드론6 목적지71 |  627스텝 | 배송 71/71 | 재적재 11 | 중계율 0.18 | alpha 0.021 | complete
Ep 82 | 드론4 목적지59 |  717스텝 | 배송 59/59 | 재적재 10 | 중계율 0.12 | alpha 0.020 | complete
Ep 83 | 드론6 목적지21 |  136스텝 | 배송 21/21 | 재적재  0 | 중계율 0.08 | alpha 0.020 | complete
Ep 84 | 드론4 목적지41 |  538스텝 | 배송 41/41 | 재적재  7 | 중계율 0.15 | alpha 0.019 | complete
Ep 85 | 드론5 목적지38 |  426스텝 | 배송 38/38 | 재적재  5 | 중계율 0.17 | alpha 0.019 | complete
Ep 86 | 드론5 목적지64 |  557스텝 | 배송 64/64 | 재적재 10 | 중계율 0.13 | alpha 0.018 | complete
Ep 87 | 드론5 목적지24 |  423스텝 | 배송 24/24 | 재적재  2 | 중계율 0.23 | alpha 0.018 | complete
Ep 88 | 드론5 목적지66 |  592스텝 | 배송 66/66 | 재적재 10 | 중계율 0.13 | alpha 0.017 | complete
Ep 89 | 드론6 목적지20 |  212스텝 | 배송 20/20 | 재적재  0 | 중계율 0.11 | alpha 0.017 | complete
Ep 90 | 드론6 목적지37 |  338스텝 | 배송 37/37 | 재적재  4 | 중계율 0.07 | alpha 0.016 | complete
Ep 91 | 드론4 목적지60 |  875스텝 | 배송 60/60 | 재적재 10 | 중계율 0.23 | alpha 0.016 | complete
Ep 92 | 드론3 목적지37 |  892스텝 | 배송 37/37 | 재적재  7 | 중계율 0.27 | alpha 0.015 | complete
Ep 93 | 드론4 목적지27 |  462스텝 | 배송 27/27 | 재적재  2 | 중계율 0.17 | alpha 0.014 | complete
Ep 94 | 드론4 목적지76 | 1000스텝 | 배송 70/76 | 재적재 12 | 중계율 0.21 | alpha 0.013 | step_limit
Ep 95 | 드론5 목적지30 |  354스텝 | 배송 30/30 | 재적재  4 | 중계율 0.11 | alpha 0.013 | complete
Ep 96 | 드론6 목적지34 |  391스텝 | 배송 34/34 | 재적재  4 | 중계율 0.19 | alpha 0.013 | complete
Ep 97 | 드론5 목적지35 |  525스텝 | 배송 35/35 | 재적재  4 | 중계율 0.21 | alpha 0.012 | complete
Ep 98 | 드론5 목적지39 |  347스텝 | 배송 39/39 | 재적재  6 | 중계율 0.07 | alpha 0.012 | complete
Ep 99 | 드론5 목적지69 | 1000스텝 | 배송 60/69 | 재적재 10 | 중계율 0.23 | alpha 0.011 | step_limit
Ep 100 | 드론6 목적지80 |  757스텝 | 배송 80/80 | 재적재 14 | 중계율 0.12 | alpha 0.011 | complete
  [홀드아웃] 배송 48.7±4.6 완주 0.86 스텝 1087 점수 92.6 재적재 8.1 2홉+ 0.64 | 최고 92.6@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지62 | 1000스텝 | 배송 47/62 | 재적재  8 | 중계율 0.19 | alpha 0.010 | step_limit
Ep 102 | 드론4 목적지30 |  435스텝 | 배송 30/30 | 재적재  4 | 중계율 0.13 | alpha 0.010 | complete
Ep 103 | 드론5 목적지75 |  668스텝 | 배송 75/75 | 재적재 13 | 중계율 0.17 | alpha 0.010 | complete
Ep 104 | 드론4 목적지39 |  636스텝 | 배송 39/39 | 재적재  6 | 중계율 0.21 | alpha 0.009 | complete
Ep 105 | 드론5 목적지24 |  322스텝 | 배송 24/24 | 재적재  2 | 중계율 0.11 | alpha 0.009 | complete
Ep 106 | 드론5 목적지73 |  810스텝 | 배송 73/73 | 재적재 13 | 중계율 0.21 | alpha 0.008 | complete
Ep 107 | 드론5 목적지25 |  265스텝 | 배송 25/25 | 재적재  1 | 중계율 0.16 | alpha 0.008 | complete
Ep 108 | 드론3 목적지69 | 1000스텝 | 배송 55/69 | 재적재 10 | 중계율 0.23 | alpha 0.008 | step_limit
Ep 109 | 드론4 목적지25 |  322스텝 | 배송 25/25 | 재적재  3 | 중계율 0.16 | alpha 0.008 | complete
Ep 110 | 드론3 목적지26 |  692스텝 | 배송 26/26 | 재적재  4 | 중계율 0.25 | alpha 0.007 | complete
Ep 111 | 드론3 목적지21 |  402스텝 | 배송 21/21 | 재적재  2 | 중계율 0.20 | alpha 0.007 | complete
Ep 112 | 드론6 목적지31 |  226스텝 | 배송 31/31 | 재적재  2 | 중계율 0.06 | alpha 0.007 | complete
Ep 113 | 드론4 목적지57 |  805스텝 | 배송 57/57 | 재적재  9 | 중계율 0.22 | alpha 0.006 | complete
Ep 114 | 드론6 목적지64 |  627스텝 | 배송 64/64 | 재적재 10 | 중계율 0.21 | alpha 0.006 | complete
Ep 115 | 드론5 목적지57 |  714스텝 | 배송 57/57 | 재적재 10 | 중계율 0.15 | alpha 0.006 | complete
Ep 116 | 드론3 목적지78 | 1000스텝 | 배송 57/78 | 재적재 10 | 중계율 0.26 | alpha 0.005 | step_limit
Ep 117 | 드론6 목적지76 |  818스텝 | 배송 76/76 | 재적재 12 | 중계율 0.28 | alpha 0.005 | complete
Ep 118 | 드론3 목적지59 | 1000스텝 | 배송 56/59 | 재적재 10 | 중계율 0.20 | alpha 0.005 | step_limit
Ep 119 | 드론4 목적지73 | 1000스텝 | 배송 65/73 | 재적재 10 | 중계율 0.25 | alpha 0.005 | step_limit
Ep 120 | 드론4 목적지68 |  883스텝 | 배송 68/68 | 재적재 12 | 중계율 0.25 | alpha 0.004 | complete
Ep 121 | 드론6 목적지59 |  491스텝 | 배송 59/59 | 재적재 10 | 중계율 0.18 | alpha 0.004 | complete
Ep 122 | 드론6 목적지55 |  514스텝 | 배송 55/55 | 재적재  9 | 중계율 0.14 | alpha 0.004 | complete
Ep 123 | 드론4 목적지22 |  305스텝 | 배송 22/22 | 재적재  3 | 중계율 0.14 | alpha 0.004 | complete
Ep 124 | 드론3 목적지57 | 1000스텝 | 배송 38/57 | 재적재  6 | 중계율 0.19 | alpha 0.004 | step_limit
Ep 125 | 드론3 목적지29 |  760스텝 | 배송 29/29 | 재적재  5 | 중계율 0.26 | alpha 0.004 | complete
Ep 126 | 드론6 목적지80 |  629스텝 | 배송 80/80 | 재적재 12 | 중계율 0.15 | alpha 0.003 | complete
