/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:335: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론6 목적지57 | 1000스텝 | 배송 52/57 | 재적재  9 | 중계율 0.14 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지50 | 1000스텝 | 배송 31/50 | 재적재  5 | 중계율 0.17 | alpha 0.100 | step_limit
Ep 3 | 드론6 목적지72 | 1000스텝 | 배송 70/72 | 재적재 12 | 중계율 0.15 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지46 | 1000스텝 | 배송 38/46 | 재적재  7 | 중계율 0.16 | alpha 0.099 | step_limit
Ep 5 | 드론4 목적지58 | 1000스텝 | 배송 47/58 | 재적재  8 | 중계율 0.36 | alpha 0.099 | step_limit
Ep 6 | 드론3 목적지61 | 1000스텝 | 배송 51/61 | 재적재  9 | 중계율 0.28 | alpha 0.105 | step_limit
Ep 7 | 드론3 목적지30 |  555스텝 | 배송 30/30 | 재적재  5 | 중계율 0.37 | alpha 0.109 | complete
Ep 8 | 드론3 목적지69 | 1000스텝 | 배송 55/69 | 재적재  9 | 중계율 0.25 | alpha 0.118 | step_limit
Ep 9 | 드론4 목적지66 | 1000스텝 | 배송 58/66 | 재적재 10 | 중계율 0.33 | alpha 0.127 | step_limit
Ep 10 | 드론4 목적지26 |  557스텝 | 배송 26/26 | 재적재  4 | 중계율 0.27 | alpha 0.132 | complete
Ep 11 | 드론6 목적지32 |  200스텝 | 배송 32/32 | 재적재  2 | 중계율 0.17 | alpha 0.134 | complete
Ep 12 | 드론4 목적지35 |  377스텝 | 배송 35/35 | 재적재  5 | 중계율 0.19 | alpha 0.138 | complete
Ep 13 | 드론4 목적지23 |  339스텝 | 배송 23/23 | 재적재  3 | 중계율 0.24 | alpha 0.141 | complete
Ep 14 | 드론3 목적지61 | 1000스텝 | 배송 55/61 | 재적재  9 | 중계율 0.30 | alpha 0.151 | step_limit
Ep 15 | 드론5 목적지78 | 1000스텝 | 배송 73/78 | 재적재 12 | 중계율 0.23 | alpha 0.162 | step_limit
Ep 16 | 드론6 목적지46 |  388스텝 | 배송 46/46 | 재적재  6 | 중계율 0.15 | alpha 0.167 | complete
Ep 17 | 드론5 목적지74 |  776스텝 | 배송 74/74 | 재적재 13 | 중계율 0.17 | alpha 0.176 | complete
Ep 18 | 드론4 목적지24 |  311스텝 | 배송 24/24 | 재적재  2 | 중계율 0.20 | alpha 0.180 | complete
Ep 19 | 드론5 목적지24 |  372스텝 | 배송 24/24 | 재적재  3 | 중계율 0.20 | alpha 0.184 | complete
Ep 20 | 드론4 목적지66 |  663스텝 | 배송 66/66 | 재적재 12 | 중계율 0.15 | alpha 0.193 | complete
Ep 21 | 드론4 목적지43 |  667스텝 | 배송 43/43 | 재적재  7 | 중계율 0.15 | alpha 0.202 | complete
Ep 22 | 드론4 목적지43 |  494스텝 | 배송 43/43 | 재적재  6 | 중계율 0.09 | alpha 0.209 | complete
Ep 23 | 드론3 목적지22 |  697스텝 | 배송 22/22 | 재적재  3 | 중계율 0.30 | alpha 0.219 | complete
Ep 24 | 드론4 목적지35 |  521스텝 | 배송 35/35 | 재적재  6 | 중계율 0.22 | alpha 0.228 | complete
Ep 25 | 드론5 목적지25 |  253스텝 | 배송 25/25 | 재적재  2 | 중계율 0.21 | alpha 0.232 | complete
Ep 26 | 드론4 목적지79 |  846스텝 | 배송 79/79 | 재적재 15 | 중계율 0.13 | alpha 0.246 | complete
Ep 27 | 드론6 목적지63 |  580스텝 | 배송 63/63 | 재적재 11 | 중계율 0.16 | alpha 0.256 | complete
Ep 28 | 드론3 목적지77 | 1000스텝 | 배송 49/77 | 재적재  9 | 중계율 0.24 | alpha 0.274 | step_limit
Ep 29 | 드론4 목적지34 |  472스텝 | 배송 34/34 | 재적재  5 | 중계율 0.14 | alpha 0.284 | complete
Ep 30 | 드론4 목적지25 |  471스텝 | 배송 25/25 | 재적재  3 | 중계율 0.30 | alpha 0.293 | complete
Ep 31 | 드론6 목적지68 |  561스텝 | 배송 68/68 | 재적재 12 | 중계율 0.16 | alpha 0.305 | complete
Ep 32 | 드론4 목적지79 | 1000스텝 | 배송 61/79 | 재적재 11 | 중계율 0.26 | alpha 0.326 | step_limit
Ep 33 | 드론4 목적지62 | 1000스텝 | 배송 57/62 | 재적재  9 | 중계율 0.26 | alpha 0.348 | step_limit
Ep 34 | 드론4 목적지33 |  397스텝 | 배송 33/33 | 재적재  4 | 중계율 0.16 | alpha 0.357 | complete
Ep 35 | 드론4 목적지26 |  341스텝 | 배송 26/26 | 재적재  4 | 중계율 0.17 | alpha 0.366 | complete
Ep 36 | 드론4 목적지57 |  838스텝 | 배송 57/57 | 재적재 10 | 중계율 0.25 | alpha 0.385 | complete
Ep 37 | 드론4 목적지29 |  589스텝 | 배송 29/29 | 재적재  4 | 중계율 0.30 | alpha 0.399 | complete
Ep 38 | 드론5 목적지63 |  764스텝 | 배송 63/63 | 재적재 11 | 중계율 0.20 | alpha 0.418 | complete
Ep 39 | 드론5 목적지44 |  438스텝 | 배송 44/44 | 재적재  6 | 중계율 0.18 | alpha 0.429 | complete
Ep 40 | 드론6 목적지56 |  727스텝 | 배송 56/56 | 재적재  7 | 중계율 0.19 | alpha 0.448 | complete
Ep 41 | 드론6 목적지21 |  165스텝 | 배송 21/21 | 재적재  0 | 중계율 0.23 | alpha 0.452 | complete
Ep 42 | 드론3 목적지24 |  438스텝 | 배송 24/24 | 재적재  3 | 중계율 0.27 | alpha 0.464 | complete
Ep 43 | 드론4 목적지52 |  894스텝 | 배송 52/52 | 재적재  9 | 중계율 0.12 | alpha 0.490 | complete
Ep 44 | 드론4 목적지72 |  750스텝 | 배송 72/72 | 재적재 12 | 중계율 0.14 | alpha 0.513 | complete
Ep 45 | 드론4 목적지52 | 1000스텝 | 배송 51/52 | 재적재  7 | 중계율 0.33 | alpha 0.547 | step_limit
Ep 46 | 드론6 목적지72 |  474스텝 | 배송 72/72 | 재적재 13 | 중계율 0.14 | alpha 0.563 | complete
Ep 47 | 드론4 목적지69 |  679스텝 | 배송 69/69 | 재적재 12 | 중계율 0.12 | alpha 0.588 | complete
Ep 48 | 드론4 목적지56 |  755스텝 | 배송 56/56 | 재적재  8 | 중계율 0.15 | alpha 0.619 | complete
Ep 49 | 드론6 목적지78 |  670스텝 | 배송 78/78 | 재적재 14 | 중계율 0.17 | alpha 0.649 | complete
Ep 50 | 드론5 목적지40 |  816스텝 | 배송 40/40 | 재적재  6 | 중계율 0.35 | alpha 0.687 | complete
  [홀드아웃] 배송 48.3±5.9 완주 0.85 스텝 1142 점수 91.2 재적재 7.9 2홉+ 0.64 | 최고 91.2@ep50 정체 0/15  ← 갱신
Ep 51 | 드론6 목적지51 |  361스텝 | 배송 51/51 | 재적재  6 | 중계율 0.11 | alpha 0.704 | complete
Ep 52 | 드론3 목적지42 |  877스텝 | 배송 42/42 | 재적재  7 | 중계율 0.21 | alpha 0.748 | complete
Ep 53 | 드론6 목적지60 |  439스텝 | 배송 60/60 | 재적재 10 | 중계율 0.12 | alpha 0.772 | complete
