/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론4 목적지43 | 1000스텝 | 배송 36/43 | 재적재  5 | 중계율 0.08 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지74 | 1000스텝 | 배송 56/74 | 재적재  9 | 중계율 0.07 | alpha 0.100 | step_limit
Ep 3 | 드론4 목적지43 | 1000스텝 | 배송 39/43 | 재적재  6 | 중계율 0.08 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지23 | 1000스텝 | 배송 19/23 | 재적재  2 | 중계율 0.08 | alpha 0.100 | step_limit
Ep 5 | 드론3 목적지31 | 1000스텝 | 배송 24/31 | 재적재  3 | 중계율 0.17 | alpha 0.099 | step_limit
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 58/68 | 재적재 10 | 중계율 0.22 | alpha 0.108 | step_limit
Ep 7 | 드론4 목적지44 |  725스텝 | 배송 44/44 | 재적재  6 | 중계율 0.37 | alpha 0.116 | complete
Ep 8 | 드론4 목적지30 |  352스텝 | 배송 30/30 | 재적재  3 | 중계율 0.28 | alpha 0.119 | complete
Ep 9 | 드론4 목적지42 |  626스텝 | 배송 16/42 | 재적재  0 | 중계율 0.29 | alpha 0.126 | no_progress
Ep 10 | 드론4 목적지47 |  599스텝 | 배송 47/47 | 재적재  8 | 중계율 0.29 | alpha 0.132 | complete
Ep 11 | 드론4 목적지21 |  531스텝 | 배송 21/21 | 재적재  2 | 중계율 0.26 | alpha 0.138 | complete
Ep 12 | 드론3 목적지37 |  967스텝 | 배송 37/37 | 재적재  6 | 중계율 0.29 | alpha 0.148 | complete
Ep 13 | 드론4 목적지28 |  267스텝 | 배송 28/28 | 재적재  2 | 중계율 0.21 | alpha 0.151 | complete
Ep 14 | 드론3 목적지41 |  760스텝 | 배송 41/41 | 재적재  6 | 중계율 0.33 | alpha 0.160 | complete
Ep 15 | 드론3 목적지66 | 1000스텝 | 배송 61/66 | 재적재 11 | 중계율 0.28 | alpha 0.172 | step_limit
Ep 16 | 드론3 목적지71 | 1000스텝 | 배송 61/71 | 재적재 10 | 중계율 0.30 | alpha 0.185 | step_limit
Ep 17 | 드론3 목적지24 |  647스텝 | 배송 24/24 | 재적재  4 | 중계율 0.37 | alpha 0.194 | complete
Ep 18 | 드론4 목적지49 |  712스텝 | 배송 49/49 | 재적재  8 | 중계율 0.30 | alpha 0.204 | complete
Ep 19 | 드론4 목적지34 |  589스텝 | 배송 34/34 | 재적재  6 | 중계율 0.38 | alpha 0.213 | complete
Ep 20 | 드론3 목적지48 | 1000스텝 | 배송 39/48 | 재적재  7 | 중계율 0.21 | alpha 0.229 | step_limit
Ep 21 | 드론3 목적지63 | 1000스텝 | 배송 60/63 | 재적재 10 | 중계율 0.34 | alpha 0.246 | step_limit
Ep 22 | 드론4 목적지46 |  721스텝 | 배송 46/46 | 재적재  8 | 중계율 0.29 | alpha 0.260 | complete
Ep 23 | 드론3 목적지44 | 1000스텝 | 배송 42/44 | 재적재  7 | 중계율 0.34 | alpha 0.279 | step_limit
Ep 24 | 드론4 목적지41 |  617스텝 | 배송 41/41 | 재적재  7 | 중계율 0.31 | alpha 0.292 | complete
Ep 25 | 드론4 목적지38 |  624스텝 | 배송 38/38 | 재적재  5 | 중계율 0.28 | alpha 0.306 | complete
Ep 26 | 드론4 목적지77 | 1000스텝 | 배송 71/77 | 재적재 11 | 중계율 0.33 | alpha 0.328 | step_limit
Ep 27 | 드론3 목적지41 |  922스텝 | 배송 41/41 | 재적재  6 | 중계율 0.40 | alpha 0.351 | complete
Ep 28 | 드론4 목적지52 | 1000스텝 | 배송 50/52 | 재적재  8 | 중계율 0.44 | alpha 0.377 | step_limit
Ep 29 | 드론4 목적지72 | 1000스텝 | 배송 63/72 | 재적재 10 | 중계율 0.38 | alpha 0.406 | step_limit
Ep 30 | 드론4 목적지61 | 1000스텝 | 배송 56/61 | 재적재  8 | 중계율 0.44 | alpha 0.438 | step_limit
Ep 31 | 드론4 목적지45 |  585스텝 | 배송 45/45 | 재적재  6 | 중계율 0.27 | alpha 0.457 | complete
Ep 32 | 드론3 목적지68 | 1000스텝 | 배송 64/68 | 재적재 11 | 중계율 0.28 | alpha 0.492 | step_limit
Ep 33 | 드론3 목적지35 |  735스텝 | 배송 35/35 | 재적재  6 | 중계율 0.26 | alpha 0.520 | complete
Ep 34 | 드론3 목적지24 |  355스텝 | 배송 24/24 | 재적재  3 | 중계율 0.29 | alpha 0.533 | complete
Ep 35 | 드론3 목적지58 | 1000스텝 | 배송 57/58 | 재적재 10 | 중계율 0.24 | alpha 0.574 | step_limit
Ep 36 | 드론3 목적지64 | 1000스텝 | 배송 56/64 | 재적재 10 | 중계율 0.31 | alpha 0.617 | step_limit
Ep 37 | 드론4 목적지58 | 1000스텝 | 배송 55/58 | 재적재 10 | 중계율 0.40 | alpha 0.662 | step_limit
Ep 38 | 드론3 목적지77 | 1000스텝 | 배송 56/77 | 재적재 11 | 중계율 0.30 | alpha 0.710 | step_limit
Ep 39 | 드론3 목적지28 |  917스텝 | 배송 23/28 | 재적재  3 | 중계율 0.39 | alpha 0.757 | no_progress
Ep 40 | 드론3 목적지37 |  750스텝 | 배송 37/37 | 재적재  7 | 중계율 0.25 | alpha 0.796 | complete
Ep 41 | 드론4 목적지59 | 1000스텝 | 배송 56/59 | 재적재  9 | 중계율 0.17 | alpha 0.850 | step_limit
Ep 42 | 드론4 목적지58 |  987스텝 | 배송 58/58 | 재적재  9 | 중계율 0.38 | alpha 0.907 | complete
Ep 43 | 드론4 목적지20 |  397스텝 | 배송 20/20 | 재적재  3 | 중계율 0.30 | alpha 0.931 | complete
Ep 44 | 드론4 목적지30 |  354스텝 | 배송 30/30 | 재적재  4 | 중계율 0.21 | alpha 0.952 | complete
Ep 45 | 드론4 목적지39 |  489스텝 | 배송 39/39 | 재적재  6 | 중계율 0.31 | alpha 0.984 | complete
Ep 46 | 드론4 목적지32 |  432스텝 | 배송 32/32 | 재적재  4 | 중계율 0.33 | alpha 1.012 | complete
Ep 47 | 드론4 목적지35 | 1000스텝 | 배송 31/35 | 재적재  3 | 중계율 0.32 | alpha 1.082 | step_limit
Ep 48 | 드론4 목적지39 |  672스텝 | 배송 39/39 | 재적재  4 | 중계율 0.35 | alpha 1.131 | complete
Ep 49 | 드론4 목적지47 |  788스텝 | 배송 47/47 | 재적재  8 | 중계율 0.26 | alpha 1.192 | complete
Ep 50 | 드론3 목적지72 | 1000스텝 | 배송 65/72 | 재적재 12 | 중계율 0.22 | alpha 1.274 | step_limit
  [홀드아웃] 배송 47.4±5.8 완주 0.78 스텝 1221 점수 83.4 재적재 7.7 2홉+ 0.62 | 최고 83.4@ep50 정체 0/15  ← 갱신
Ep 51 | 드론3 목적지71 | 1000스텝 | 배송 66/71 | 재적재 11 | 중계율 0.17 | alpha 1.361 | step_limit
Ep 52 | 드론3 목적지45 |  768스텝 | 배송 45/45 | 재적재  8 | 중계율 0.24 | alpha 1.432 | complete
Ep 53 | 드론4 목적지64 |  891스텝 | 배송 64/64 | 재적재 12 | 중계율 0.19 | alpha 1.518 | complete
Ep 54 | 드론4 목적지24 |  579스텝 | 배송 24/24 | 재적재  2 | 중계율 0.31 | alpha 1.576 | complete
Ep 55 | 드론4 목적지60 | 1000스텝 | 배송 51/60 | 재적재  8 | 중계율 0.27 | alpha 1.680 | step_limit
Ep 56 | 드론4 목적지20 |  419스텝 | 배송 20/20 | 재적재  1 | 중계율 0.28 | alpha 1.724 | complete
Ep 57 | 드론4 목적지61 |  880스텝 | 배송 61/61 | 재적재 11 | 중계율 0.24 | alpha 1.818 | complete
Ep 58 | 드론4 목적지77 | 1000스텝 | 배송 67/77 | 재적재 11 | 중계율 0.21 | alpha 1.926 | step_limit
Ep 59 | 드론4 목적지40 | 1000스텝 | 배송 39/40 | 재적재  5 | 중계율 0.34 | alpha 2.039 | step_limit
Ep 60 | 드론3 목적지76 | 1000스텝 | 배송 60/76 | 재적재 11 | 중계율 0.23 | alpha 2.155 | step_limit
Ep 61 | 드론4 목적지66 | 1000스텝 | 배송 64/66 | 재적재 11 | 중계율 0.28 | alpha 2.271 | step_limit
Ep 62 | 드론4 목적지43 |  587스텝 | 배송 43/43 | 재적재  8 | 중계율 0.23 | alpha 2.340 | complete
Ep 63 | 드론4 목적지57 | 1000스텝 | 배송 55/57 | 재적재  9 | 중계율 0.28 | alpha 2.449 | step_limit
Ep 64 | 드론3 목적지52 | 1000스텝 | 배송 47/52 | 재적재  9 | 중계율 0.26 | alpha 2.550 | step_limit
Ep 65 | 드론4 목적지42 |  484스텝 | 배송 42/42 | 재적재  6 | 중계율 0.16 | alpha 2.596 | complete
Ep 66 | 드론3 목적지41 |  958스텝 | 배송 41/41 | 재적재  7 | 중계율 0.25 | alpha 2.677 | complete
Ep 67 | 드론4 목적지23 |  459스텝 | 배송 23/23 | 재적재  4 | 중계율 0.20 | alpha 2.711 | complete
Ep 68 | 드론4 목적지77 |  910스텝 | 배송 77/77 | 재적재 14 | 중계율 0.14 | alpha 2.768 | complete
Ep 69 | 드론3 목적지48 |  791스텝 | 배송 48/48 | 재적재  8 | 중계율 0.14 | alpha 2.810 | complete
Ep 70 | 드론3 목적지69 | 1000스텝 | 배송 46/69 | 재적재  7 | 중계율 0.13 | alpha 2.856 | step_limit
Ep 71 | 드론4 목적지34 |  656스텝 | 배송 34/34 | 재적재  5 | 중계율 0.19 | alpha 2.878 | complete
Ep 72 | 드론4 목적지61 | 1000스텝 | 배송 56/61 | 재적재  9 | 중계율 0.28 | alpha 2.894 | step_limit
Ep 73 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.30 | alpha 2.895 | step_limit
Ep 74 | 드론3 목적지70 | 1000스텝 | 배송 53/70 | 재적재  8 | 중계율 0.14 | alpha 2.896 | step_limit
