/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:311: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론6 목적지57 | 1000스텝 | 배송 53/57 | 재적재  8 | 중계율 0.15 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.18 | alpha 0.100 | step_limit
Ep 3 | 드론6 목적지72 |  914스텝 | 배송 72/72 | 재적재 13 | 중계율 0.16 | alpha 0.100 | complete
Ep 4 | 드론3 목적지46 | 1000스텝 | 배송 32/46 | 재적재  5 | 중계율 0.16 | alpha 0.101 | step_limit
Ep 5 | 드론4 목적지58 | 1000스텝 | 배송 41/58 | 재적재  6 | 중계율 0.21 | alpha 0.110 | step_limit
Ep 6 | 드론3 목적지61 |  842스텝 | 배송 32/61 | 재적재  6 | 중계율 0.09 | alpha 0.119 | no_progress
Ep 7 | 드론3 목적지30 |  627스텝 | 배송 30/30 | 재적재  5 | 중계율 0.21 | alpha 0.126 | complete
Ep 8 | 드론3 목적지69 | 1000스텝 | 배송 50/69 | 재적재  8 | 중계율 0.03 | alpha 0.138 | step_limit
Ep 9 | 드론4 목적지66 | 1000스텝 | 배송 58/66 | 재적재  8 | 중계율 0.19 | alpha 0.149 | step_limit
Ep 10 | 드론4 목적지26 |  447스텝 | 배송 26/26 | 재적재  2 | 중계율 0.02 | alpha 0.155 | complete
Ep 11 | 드론6 목적지32 |  222스텝 | 배송 32/32 | 재적재  4 | 중계율 0.08 | alpha 0.158 | complete
Ep 12 | 드론4 목적지35 |  361스텝 | 배송 35/35 | 재적재  5 | 중계율 0.08 | alpha 0.162 | complete
Ep 13 | 드론4 목적지23 |  388스텝 | 배송 23/23 | 재적재  4 | 중계율 0.07 | alpha 0.167 | complete
Ep 14 | 드론3 목적지61 | 1000스텝 | 배송 50/61 | 재적재  8 | 중계율 0.05 | alpha 0.180 | step_limit
Ep 15 | 드론5 목적지78 |  841스텝 | 배송 78/78 | 재적재 13 | 중계율 0.06 | alpha 0.192 | complete
Ep 16 | 드론6 목적지46 |  572스텝 | 배송 46/46 | 재적재  7 | 중계율 0.01 | alpha 0.201 | complete
Ep 17 | 드론5 목적지74 | 1000스텝 | 배송 66/74 | 재적재 11 | 중계율 0.01 | alpha 0.217 | step_limit
Ep 18 | 드론4 목적지24 |  335스텝 | 배송 24/24 | 재적재  4 | 중계율 0.02 | alpha 0.222 | complete
Ep 19 | 드론5 목적지24 |  326스텝 | 배송 24/24 | 재적재  2 | 중계율 0.00 | alpha 0.228 | complete
Ep 20 | 드론4 목적지66 |  888스텝 | 배송 66/66 | 재적재 12 | 중계율 0.04 | alpha 0.243 | complete
Ep 21 | 드론4 목적지43 |  570스텝 | 배송 43/43 | 재적재  8 | 중계율 0.07 | alpha 0.254 | complete
Ep 22 | 드론4 목적지43 |  531스텝 | 배송 43/43 | 재적재  6 | 중계율 0.00 | alpha 0.264 | complete
Ep 23 | 드론3 목적지22 |  991스텝 | 배송 21/22 | 재적재  3 | 중계율 0.03 | alpha 0.283 | no_progress
Ep 24 | 드론4 목적지35 |  466스텝 | 배송 35/35 | 재적재  6 | 중계율 0.04 | alpha 0.292 | complete
Ep 25 | 드론5 목적지25 |  328스텝 | 배송 25/25 | 재적재  1 | 중계율 0.08 | alpha 0.299 | complete
Ep 26 | 드론4 목적지79 | 1000스텝 | 배송 62/79 | 재적재 10 | 중계율 0.05 | alpha 0.320 | step_limit
Ep 27 | 드론6 목적지63 |  584스텝 | 배송 63/63 | 재적재 10 | 중계율 0.08 | alpha 0.334 | complete
Ep 28 | 드론3 목적지77 | 1000스텝 | 배송 52/77 | 재적재  9 | 중계율 0.10 | alpha 0.358 | step_limit
Ep 29 | 드론4 목적지34 | 1000스텝 | 배송 29/34 | 재적재  4 | 중계율 0.05 | alpha 0.384 | step_limit
Ep 30 | 드론4 목적지25 | 1000스텝 | 배송 23/25 | 재적재  3 | 중계율 0.09 | alpha 0.413 | step_limit
Ep 31 | 드론6 목적지68 |  847스텝 | 배송 68/68 | 재적재 10 | 중계율 0.07 | alpha 0.439 | complete
Ep 32 | 드론4 목적지79 | 1000스텝 | 배송 64/79 | 재적재 11 | 중계율 0.14 | alpha 0.473 | step_limit
Ep 33 | 드론4 목적지62 | 1000스텝 | 배송 59/62 | 재적재 10 | 중계율 0.20 | alpha 0.509 | step_limit
Ep 34 | 드론4 목적지33 |  947스텝 | 배송 33/33 | 재적재  5 | 중계율 0.18 | alpha 0.546 | complete
Ep 35 | 드론4 목적지26 |  502스텝 | 배송 26/26 | 재적재  3 | 중계율 0.16 | alpha 0.567 | complete
