/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:311: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론5 목적지43 |  979스텝 | 배송 43/43 | 재적재  7 | 중계율 0.11 | alpha 0.100 | complete
Ep 2 | 드론4 목적지74 | 1000스텝 | 배송 63/74 | 재적재 12 | 중계율 0.07 | alpha 0.100 | step_limit
Ep 3 | 드론5 목적지43 |  797스텝 | 배송 43/43 | 재적재  6 | 중계율 0.10 | alpha 0.100 | complete
Ep 4 | 드론4 목적지23 | 1000스텝 | 배송 18/23 | 재적재  3 | 중계율 0.05 | alpha 0.100 | step_limit
Ep 5 | 드론4 목적지31 | 1000스텝 | 배송 26/31 | 재적재  4 | 중계율 0.06 | alpha 0.101 | step_limit
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 44/68 | 재적재  8 | 중계율 0.09 | alpha 0.107 | step_limit
Ep 7 | 드론6 목적지44 |  515스텝 | 배송 44/44 | 재적재  5 | 중계율 0.20 | alpha 0.113 | complete
Ep 8 | 드론6 목적지30 |  422스텝 | 배송 30/30 | 재적재  3 | 중계율 0.27 | alpha 0.118 | complete
Ep 9 | 드론6 목적지42 |  632스텝 | 배송 42/42 | 재적재  5 | 중계율 0.31 | alpha 0.126 | complete
Ep 10 | 드론6 목적지47 |  445스텝 | 배송 47/47 | 재적재  7 | 중계율 0.25 | alpha 0.131 | complete
Ep 11 | 드론5 목적지21 |  330스텝 | 배송 21/21 | 재적재  2 | 중계율 0.29 | alpha 0.135 | complete
Ep 12 | 드론3 목적지37 | 1000스텝 | 배송 35/37 | 재적재  6 | 중계율 0.36 | alpha 0.147 | step_limit
Ep 13 | 드론6 목적지28 |  259스텝 | 배송 28/28 | 재적재  2 | 중계율 0.14 | alpha 0.150 | complete
Ep 14 | 드론3 목적지41 |  867스텝 | 배송 41/41 | 재적재  8 | 중계율 0.22 | alpha 0.161 | complete
Ep 15 | 드론3 목적지66 | 1000스텝 | 배송 43/66 | 재적재  7 | 중계율 0.13 | alpha 0.175 | step_limit
Ep 16 | 드론4 목적지71 |  817스텝 | 배송 71/71 | 재적재 12 | 중계율 0.18 | alpha 0.187 | complete
Ep 17 | 드론4 목적지24 | 1000스텝 | 배송 23/24 | 재적재  4 | 중계율 0.34 | alpha 0.202 | step_limit
Ep 18 | 드론5 목적지49 | 1000스텝 | 배송 48/49 | 재적재  6 | 중계율 0.23 | alpha 0.218 | step_limit
Ep 19 | 드론6 목적지34 |  397스텝 | 배송 34/34 | 재적재  6 | 중계율 0.20 | alpha 0.224 | complete
Ep 20 | 드론3 목적지48 |  885스텝 | 배송 48/48 | 재적재  8 | 중계율 0.16 | alpha 0.240 | complete
Ep 21 | 드론4 목적지63 |  764스텝 | 배송 63/63 | 재적재 10 | 중계율 0.21 | alpha 0.254 | complete
Ep 22 | 드론6 목적지46 |  425스텝 | 배송 46/46 | 재적재  6 | 중계율 0.14 | alpha 0.262 | complete
Ep 23 | 드론3 목적지44 | 1000스텝 | 배송 30/44 | 재적재  4 | 중계율 0.15 | alpha 0.282 | step_limit
Ep 24 | 드론5 목적지41 |  457스텝 | 배송 41/41 | 재적재  4 | 중계율 0.14 | alpha 0.292 | complete
Ep 25 | 드론5 목적지38 |  367스텝 | 배송 38/38 | 재적재  4 | 중계율 0.10 | alpha 0.300 | complete
Ep 26 | 드론5 목적지77 | 1000스텝 | 배송 76/77 | 재적재 12 | 중계율 0.10 | alpha 0.323 | step_limit
Ep 27 | 드론3 목적지41 |  939스텝 | 배송 41/41 | 재적재  7 | 중계율 0.13 | alpha 0.346 | complete
Ep 28 | 드론5 목적지52 |  874스텝 | 배송 52/52 | 재적재  8 | 중계율 0.16 | alpha 0.369 | complete
Ep 29 | 드론5 목적지72 | 1000스텝 | 배송 61/72 | 재적재 10 | 중계율 0.11 | alpha 0.396 | step_limit
Ep 30 | 드론5 목적지61 | 1000스텝 | 배송 54/61 | 재적재  8 | 중계율 0.08 | alpha 0.426 | step_limit
Ep 31 | 드론5 목적지45 |  648스텝 | 배송 45/45 | 재적재  6 | 중계율 0.10 | alpha 0.445 | complete
