/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:311: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론5 목적지43 | 1000스텝 | 배송 42/43 | 재적재  7 | 중계율 0.23 | alpha 0.100 | step_limit
Ep 2 | 드론4 목적지74 | 1000스텝 | 배송 67/74 | 재적재 12 | 중계율 0.15 | alpha 0.100 | step_limit
Ep 3 | 드론5 목적지43 | 1000스텝 | 배송 41/43 | 재적재  6 | 중계율 0.13 | alpha 0.100 | step_limit
Ep 4 | 드론4 목적지23 | 1000스텝 | 배송 17/23 | 재적재  1 | 중계율 0.17 | alpha 0.100 | step_limit
Ep 5 | 드론4 목적지31 | 1000스텝 | 배송 27/31 | 재적재  4 | 중계율 0.06 | alpha 0.100 | step_limit
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 47/68 | 재적재  8 | 중계율 0.09 | alpha 0.110 | step_limit
Ep 7 | 드론6 목적지44 |  396스텝 | 배송 44/44 | 재적재  5 | 중계율 0.11 | alpha 0.115 | complete
Ep 8 | 드론6 목적지30 |  307스텝 | 배송 30/30 | 재적재  3 | 중계율 0.17 | alpha 0.119 | complete
Ep 9 | 드론6 목적지42 |  583스텝 | 배송 42/42 | 재적재  4 | 중계율 0.12 | alpha 0.126 | complete
Ep 10 | 드론6 목적지47 |  398스텝 | 배송 47/47 | 재적재  6 | 중계율 0.03 | alpha 0.130 | complete
Ep 11 | 드론5 목적지21 |  358스텝 | 배송 21/21 | 재적재  3 | 중계율 0.11 | alpha 0.135 | complete
Ep 12 | 드론3 목적지37 |  735스텝 | 배송 25/37 | 재적재  3 | 중계율 0.12 | alpha 0.144 | no_progress
Ep 13 | 드론6 목적지28 |  285스텝 | 배송 28/28 | 재적재  2 | 중계율 0.09 | alpha 0.148 | complete
Ep 14 | 드론3 목적지41 |  649스텝 | 배송 15/41 | 재적재  1 | 중계율 0.16 | alpha 0.156 | no_progress
Ep 15 | 드론3 목적지66 |  555스텝 | 배송 10/66 | 재적재  0 | 중계율 0.00 | alpha 0.164 | no_progress
Ep 16 | 드론4 목적지71 |  775스텝 | 배송 33/71 | 재적재  5 | 중계율 0.10 | alpha 0.175 | no_progress
Ep 17 | 드론4 목적지24 |  725스텝 | 배송 18/24 | 재적재  1 | 중계율 0.27 | alpha 0.186 | no_progress
Ep 18 | 드론5 목적지49 |  679스텝 | 배송 49/49 | 재적재  7 | 중계율 0.13 | alpha 0.196 | complete
Ep 19 | 드론6 목적지34 |  367스텝 | 배송 34/34 | 재적재  5 | 중계율 0.08 | alpha 0.201 | complete
Ep 20 | 드론3 목적지48 | 1000스텝 | 배송 27/48 | 재적재  4 | 중계율 0.06 | alpha 0.217 | step_limit
Ep 21 | 드론4 목적지63 |  862스텝 | 배송 30/63 | 재적재  5 | 중계율 0.05 | alpha 0.231 | no_progress
Ep 22 | 드론6 목적지46 |  452스텝 | 배송 46/46 | 재적재  6 | 중계율 0.09 | alpha 0.239 | complete
Ep 23 | 드론3 목적지44 | 1000스텝 | 배송 38/44 | 재적재  6 | 중계율 0.10 | alpha 0.256 | step_limit
Ep 24 | 드론5 목적지41 |  626스텝 | 배송 41/41 | 재적재  6 | 중계율 0.08 | alpha 0.268 | complete
Ep 25 | 드론5 목적지38 |  376스텝 | 배송 38/38 | 재적재  5 | 중계율 0.10 | alpha 0.275 | complete
Ep 26 | 드론5 목적지77 | 1000스텝 | 배송 71/77 | 재적재 12 | 중계율 0.14 | alpha 0.295 | step_limit
Ep 27 | 드론3 목적지41 |  966스텝 | 배송 25/41 | 재적재  4 | 중계율 0.10 | alpha 0.316 | no_progress
Ep 28 | 드론5 목적지52 | 1000스텝 | 배송 47/52 | 재적재  8 | 중계율 0.06 | alpha 0.339 | step_limit
Ep 29 | 드론5 목적지72 | 1000스텝 | 배송 35/72 | 재적재  7 | 중계율 0.07 | alpha 0.365 | step_limit
Ep 30 | 드론5 목적지61 | 1000스텝 | 배송 45/61 | 재적재  7 | 중계율 0.10 | alpha 0.392 | step_limit
Ep 31 | 드론5 목적지45 | 1000스텝 | 배송 40/45 | 재적재  6 | 중계율 0.10 | alpha 0.422 | step_limit
Ep 32 | 드론3 목적지68 | 1000스텝 | 배송 46/68 | 재적재  8 | 중계율 0.15 | alpha 0.455 | step_limit
Ep 33 | 드론3 목적지35 |  596스텝 | 배송 35/35 | 재적재  5 | 중계율 0.14 | alpha 0.476 | complete
Ep 34 | 드론3 목적지24 |  477스텝 | 배송 24/24 | 재적재  3 | 중계율 0.10 | alpha 0.493 | complete
Ep 35 | 드론3 목적지58 | 1000스텝 | 배송 47/58 | 재적재  9 | 중계율 0.17 | alpha 0.532 | step_limit
Ep 36 | 드론4 목적지64 | 1000스텝 | 배송 52/64 | 재적재  9 | 중계율 0.11 | alpha 0.572 | step_limit
Ep 37 | 드론6 목적지58 |  945스텝 | 배송 58/58 | 재적재  8 | 중계율 0.09 | alpha 0.612 | complete
Ep 38 | 드론3 목적지77 | 1000스텝 | 배송 45/77 | 재적재  7 | 중계율 0.15 | alpha 0.657 | step_limit
Ep 39 | 드론3 목적지28 |  765스텝 | 배송 28/28 | 재적재  4 | 중계율 0.12 | alpha 0.694 | complete
Ep 40 | 드론3 목적지37 | 1000스텝 | 배송 33/37 | 재적재  4 | 중계율 0.11 | alpha 0.744 | step_limit
Ep 41 | 드론5 목적지59 |  856스텝 | 배송 59/59 | 재적재 10 | 중계율 0.14 | alpha 0.789 | complete
Ep 42 | 드론6 목적지58 |  708스텝 | 배송 58/58 | 재적재  9 | 중계율 0.07 | alpha 0.827 | complete
Ep 43 | 드론6 목적지20 |  275스텝 | 배송 20/20 | 재적재  1 | 중계율 0.02 | alpha 0.842 | complete
Ep 44 | 드론6 목적지30 |  443스텝 | 배송 30/30 | 재적재  3 | 중계율 0.04 | alpha 0.865 | complete
Ep 45 | 드론6 목적지39 |  630스텝 | 배송 39/39 | 재적재  5 | 중계율 0.06 | alpha 0.898 | complete
Ep 46 | 드론6 목적지32 |  433스텝 | 배송 32/32 | 재적재  4 | 중계율 0.09 | alpha 0.919 | complete
Ep 47 | 드론5 목적지35 |  642스텝 | 배송 35/35 | 재적재  6 | 중계율 0.18 | alpha 0.948 | complete
Ep 48 | 드론5 목적지39 | 1000스텝 | 배송 38/39 | 재적재  5 | 중계율 0.15 | alpha 0.991 | step_limit
