/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:329: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론5 목적지43 | 1000스텝 | 배송 39/43 | 재적재  6 | 중계율 0.08 | alpha 0.100 | step_limit
Ep 2 | 드론4 목적지74 | 1000스텝 | 배송 67/74 | 재적재 11 | 중계율 0.06 | alpha 0.100 | step_limit
Ep 3 | 드론5 목적지43 | 1000스텝 | 배송 40/43 | 재적재  5 | 중계율 0.06 | alpha 0.100 | step_limit
Ep 4 | 드론4 목적지23 | 1000스텝 | 배송 21/23 | 재적재  3 | 중계율 0.08 | alpha 0.100 | step_limit
Ep 5 | 드론4 목적지31 | 1000스텝 | 배송 25/31 | 재적재  3 | 중계율 0.10 | alpha 0.099 | step_limit
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 64/68 | 재적재 11 | 중계율 0.20 | alpha 0.109 | step_limit
Ep 7 | 드론6 목적지44 |  441스텝 | 배송 44/44 | 재적재  6 | 중계율 0.29 | alpha 0.114 | complete
Ep 8 | 드론6 목적지30 |  259스텝 | 배송 30/30 | 재적재  2 | 중계율 0.25 | alpha 0.116 | complete
Ep 9 | 드론6 목적지42 |  403스텝 | 배송 42/42 | 재적재  6 | 중계율 0.22 | alpha 0.121 | complete
Ep 10 | 드론6 목적지47 |  485스텝 | 배송 47/47 | 재적재  5 | 중계율 0.21 | alpha 0.126 | complete
Ep 11 | 드론5 목적지21 |  357스텝 | 배송 21/21 | 재적재  2 | 중계율 0.20 | alpha 0.130 | complete
Ep 12 | 드론3 목적지37 |  817스텝 | 배송 37/37 | 재적재  6 | 중계율 0.21 | alpha 0.139 | complete
Ep 13 | 드론6 목적지28 |  306스텝 | 배송 28/28 | 재적재  2 | 중계율 0.12 | alpha 0.143 | complete
Ep 14 | 드론3 목적지41 |  910스텝 | 배송 41/41 | 재적재  7 | 중계율 0.29 | alpha 0.154 | complete
