/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=off 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 1 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.29 교착최장  20 | step_limit
Ep 2 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.43 교착최장  70 | step_limit
Ep 3 |  1000스텝 | 배송 37/50 | 재적재  4 | 정지 0.39 교착최장  59 | step_limit
Ep 4 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.43 교착최장  35 | step_limit
Ep 5 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.39 교착최장  39 | step_limit
Ep 6 |  1000스텝 | 배송 40/50 | 재적재  5 | 정지 0.44 교착최장  67 | step_limit
Ep 7 |  1000스텝 | 배송 30/50 | 재적재  3 | 정지 0.26 교착최장  36 | step_limit
Ep 8 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.37 교착최장 139 | step_limit
Ep 9 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.55 교착최장 213 | step_limit
Ep 10 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.62 교착최장 218 | step_limit
Ep 11 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.75 교착최장 479 | step_limit
Ep 12 |   915스텝 | 배송 18/50 | 재적재  1 | 정지 0.61 교착최장  19 | no_progress
Ep 13 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.68 교착최장 237 | step_limit
Ep 14 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.57 교착최장 219 | step_limit
Ep 15 |   867스텝 | 배송 21/50 | 재적재  3 | 정지 0.68 교착최장 483 | no_progress
Ep 16 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.49 교착최장 164 | step_limit
Ep 17 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.50 교착최장 338 | step_limit
Ep 18 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.53 교착최장 102 | step_limit
Ep 19 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.53 교착최장 117 | step_limit
Ep 20 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.61 교착최장 174 | step_limit
Ep 21 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.66 교착최장 260 | step_limit
Ep 22 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.66 교착최장 238 | step_limit
Ep 23 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.48 교착최장  40 | step_limit
Ep 24 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.43 교착최장  52 | step_limit
Ep 25 |  1000스텝 | 배송 48/50 | 재적재  8 | 정지 0.31 교착최장  27 | step_limit
Ep 26 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.47 교착최장  40 | step_limit
Ep 27 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.55 교착최장  39 | step_limit
Ep 28 |  1000스텝 | 배송 45/50 | 재적재  8 | 정지 0.40 교착최장  22 | step_limit
Ep 29 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.55 교착최장  75 | step_limit
Ep 30 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.64 교착최장 141 | step_limit
Ep 31 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.50 교착최장  78 | step_limit
Ep 32 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.60 교착최장 212 | step_limit
Ep 33 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.52 교착최장 178 | step_limit
Ep 34 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.67 교착최장 180 | step_limit
Ep 35 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.59 교착최장 153 | step_limit
Ep 36 |  1000스텝 | 배송 37/50 | 재적재  6 | 정지 0.54 교착최장 117 | step_limit
Ep 37 |  1000스텝 | 배송 49/50 | 재적재  7 | 정지 0.42 교착최장  42 | step_limit
Ep 38 |  1000스텝 | 배송 40/50 | 재적재  5 | 정지 0.50 교착최장  92 | step_limit
Ep 39 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.59 교착최장  97 | step_limit
Ep 40 |  1000스텝 | 배송 47/50 | 재적재  7 | 정지 0.33 교착최장  26 | step_limit
Ep 41 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.53 교착최장 221 | step_limit
Ep 42 |  1000스텝 | 배송 48/50 | 재적재  7 | 정지 0.45 교착최장  89 | step_limit
Ep 43 |   974스텝 | 배송 22/50 | 재적재  1 | 정지 0.88 교착최장 518 | no_progress
Ep 44 |   936스텝 | 배송 27/50 | 재적재  4 | 정지 0.71 교착최장 327 | no_progress
Ep 45 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.49 교착최장  65 | step_limit
Ep 46 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.48 교착최장  58 | step_limit
Ep 47 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.52 교착최장  48 | step_limit
Ep 48 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.52 교착최장  87 | step_limit
Ep 49 |   811스텝 | 배송 25/50 | 재적재  3 | 정지 0.72 교착최장 498 | no_progress
Ep 50 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.45 교착최장  78 | step_limit
  [홀드아웃] 배송 37.4±8.1 재적재 5.6 2홉+ 0.64 | 최고 37.4@ep50 정체 0/15  ← 갱신
Ep 51 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.50 교착최장  54 | step_limit
Ep 52 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.49 교착최장 116 | step_limit
Ep 53 |  1000스텝 | 배송 39/50 | 재적재  5 | 정지 0.60 교착최장  77 | step_limit
Ep 54 |   962스텝 | 배송 23/50 | 재적재  2 | 정지 0.79 교착최장 500 | no_progress
Ep 55 |  1000스텝 | 배송 28/50 | 재적재  5 | 정지 0.63 교착최장  90 | step_limit
Ep 56 |   999스텝 | 배송 20/50 | 재적재  2 | 정지 0.75 교착최장 448 | no_progress
Ep 57 |   929스텝 | 배송 33/50 | 재적재  4 | 정지 0.56 교착최장 428 | no_progress
Ep 58 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.51 교착최장 296 | step_limit
Ep 59 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.60 교착최장 115 | step_limit
Ep 60 |   900스텝 | 배송 50/50 | 재적재  7 | 정지 0.28 교착최장  55 | complete
Ep 61 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.62 교착최장 198 | step_limit
Ep 62 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.56 교착최장 187 | step_limit
Ep 63 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.46 교착최장 126 | step_limit
Ep 64 |   785스텝 | 배송 28/50 | 재적재  3 | 정지 0.70 교착최장 385 | no_progress
Ep 65 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.41 교착최장  55 | step_limit
Ep 66 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.54 교착최장 412 | step_limit
Ep 67 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.61 교착최장 230 | step_limit
Ep 68 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.55 교착최장  99 | step_limit
Ep 69 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.49 교착최장 151 | step_limit
Ep 70 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.70 교착최장 296 | step_limit
Ep 71 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.55 교착최장 229 | step_limit
Ep 72 |   970스텝 | 배송 34/50 | 재적재  4 | 정지 0.66 교착최장 452 | no_progress
Ep 73 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.56 교착최장 229 | step_limit
Ep 74 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.37 교착최장  86 | step_limit
Ep 75 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.53 교착최장 165 | step_limit
Ep 76 |  1000스텝 | 배송 41/50 | 재적재  5 | 정지 0.46 교착최장 194 | step_limit
Ep 77 |   995스텝 | 배송 36/50 | 재적재  5 | 정지 0.64 교착최장 448 | no_progress
Ep 78 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.43 교착최장  73 | step_limit
Ep 79 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.45 교착최장  52 | step_limit
Ep 80 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.58 교착최장 223 | step_limit
Ep 81 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.64 교착최장 314 | step_limit
Ep 82 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.60 교착최장 360 | step_limit
Ep 83 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.58 교착최장 143 | step_limit
Ep 84 |  1000스텝 | 배송 37/50 | 재적재  6 | 정지 0.46 교착최장  55 | step_limit
Ep 85 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.41 교착최장  47 | step_limit
Ep 86 |   977스텝 | 배송 25/50 | 재적재  3 | 정지 0.60 교착최장 485 | no_progress
Ep 87 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.64 교착최장 199 | step_limit
Ep 88 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.60 교착최장 357 | step_limit
Ep 89 |  1000스텝 | 배송 45/50 | 재적재  8 | 정지 0.39 교착최장  24 | step_limit
Ep 90 |   916스텝 | 배송 29/50 | 재적재  4 | 정지 0.45 교착최장  15 | no_progress
Ep 91 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.33 교착최장  28 | step_limit
Ep 92 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.38 교착최장 151 | step_limit
Ep 93 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.48 교착최장  62 | step_limit
Ep 94 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.49 교착최장 100 | step_limit
Ep 95 |   932스텝 | 배송 33/50 | 재적재  6 | 정지 0.51 교착최장 206 | no_progress
Ep 96 |   910스텝 | 배송 34/50 | 재적재  4 | 정지 0.60 교착최장  85 | no_progress
Ep 97 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.33 교착최장  38 | step_limit
Ep 98 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.57 교착최장 226 | step_limit
Ep 99 |  1000스텝 | 배송 45/50 | 재적재  8 | 정지 0.25 교착최장  20 | step_limit
Ep 100 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.66 교착최장 318 | step_limit
  [홀드아웃] 배송 40.8±6.4 재적재 5.9 2홉+ 0.61 | 최고 40.8@ep100 정체 0/15  ← 갱신
Ep 101 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.58 교착최장 229 | step_limit
Ep 102 |  1000스텝 | 배송 35/50 | 재적재  4 | 정지 0.62 교착최장 253 | step_limit
Ep 103 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.34 교착최장  43 | step_limit
Ep 104 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.30 교착최장  33 | step_limit
Ep 105 |  1000스텝 | 배송 45/50 | 재적재  6 | 정지 0.30 교착최장  20 | step_limit
Ep 106 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.38 교착최장  28 | step_limit
Ep 107 |   645스텝 | 배송 14/50 | 재적재  1 | 정지 0.66 교착최장 348 | no_progress
