/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=off 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 1 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.45 교착최장 132 | step_limit
Ep 2 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.37 교착최장  21 | step_limit
Ep 3 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.40 교착최장  38 | step_limit
Ep 4 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.40 교착최장  43 | step_limit
Ep 5 |  1000스텝 | 배송 44/50 | 재적재  6 | 정지 0.38 교착최장  21 | step_limit
Ep 6 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.37 교착최장  90 | step_limit
Ep 7 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.54 교착최장 319 | step_limit
Ep 8 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.64 교착최장 498 | step_limit
Ep 9 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.42 교착최장  65 | step_limit
Ep 10 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.46 교착최장 106 | step_limit
Ep 11 |  1000스텝 | 배송 41/50 | 재적재  5 | 정지 0.27 교착최장  91 | step_limit
Ep 12 |   648스텝 | 배송 12/50 | 재적재  0 | 정지 0.84 교착최장 324 | no_progress
Ep 13 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.47 교착최장  79 | step_limit
Ep 14 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.33 교착최장 112 | step_limit
Ep 15 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.37 교착최장  72 | step_limit
Ep 16 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.38 교착최장  90 | step_limit
Ep 17 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.58 교착최장 137 | step_limit
Ep 18 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.31 교착최장  54 | step_limit
Ep 19 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.45 교착최장 258 | step_limit
Ep 20 |  1000스텝 | 배송 47/50 | 재적재  8 | 정지 0.28 교착최장  22 | step_limit
Ep 21 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.26 교착최장  49 | step_limit
Ep 22 |  1000스텝 | 배송 41/50 | 재적재  8 | 정지 0.44 교착최장  40 | step_limit
Ep 23 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.35 교착최장  58 | step_limit
Ep 24 |  1000스텝 | 배송 47/50 | 재적재  7 | 정지 0.35 교착최장  60 | step_limit
Ep 25 |  1000스텝 | 배송 35/50 | 재적재  4 | 정지 0.44 교착최장  56 | step_limit
Ep 26 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.42 교착최장  38 | step_limit
Ep 27 |  1000스텝 | 배송 45/50 | 재적재  6 | 정지 0.43 교착최장  86 | step_limit
Ep 28 |  1000스텝 | 배송 44/50 | 재적재  6 | 정지 0.37 교착최장  27 | step_limit
Ep 29 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.40 교착최장  44 | step_limit
Ep 30 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.38 교착최장  56 | step_limit
Ep 31 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.44 교착최장  53 | step_limit
Ep 32 |  1000스텝 | 배송 44/50 | 재적재  8 | 정지 0.44 교착최장  31 | step_limit
