/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4][3.0, 1.0] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan/속도가중치=40.0
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:354: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론3 목적지70 | 1000스텝 | 배송 48/70 | 재적재  8 | 중계율 0.17 | alpha 0.100 | step_limit
Ep 2 | 드론3 목적지66 | 1000스텝 | 배송 49/66 | 재적재  8 | 중계율 0.18 | alpha 0.100 | step_limit
Ep 3 | 드론3 목적지46 | 1000스텝 | 배송 36/46 | 재적재  6 | 중계율 0.13 | alpha 0.100 | step_limit
Ep 4 | 드론3 목적지25 | 1000스텝 | 배송 23/25 | 재적재  4 | 중계율 0.17 | alpha 0.100 | step_limit
Ep 5 | 드론3 목적지26 |  975스텝 | 배송 26/26 | 재적재  4 | 중계율 0.34 | alpha 0.102 | complete
Ep 6 | 드론3 목적지69 | 1000스텝 | 배송 63/69 | 재적재 10 | 중계율 0.31 | alpha 0.112 | step_limit
Ep 7 | 드론4 목적지44 |  702스텝 | 배송 44/44 | 재적재  6 | 중계율 0.28 | alpha 0.119 | complete
Ep 8 | 드론3 목적지79 | 1000스텝 | 배송 65/79 | 재적재 11 | 중계율 0.31 | alpha 0.129 | step_limit
Ep 9 | 드론3 목적지35 |  619스텝 | 배송 35/35 | 재적재  6 | 중계율 0.23 | alpha 0.135 | complete
Ep 10 | 드론3 목적지59 | 1000스텝 | 배송 50/59 | 재적재  8 | 중계율 0.25 | alpha 0.146 | step_limit
Ep 11 | 드론3 목적지63 |  944스텝 | 배송 63/63 | 재적재 10 | 중계율 0.22 | alpha 0.158 | complete
Ep 12 | 드론4 목적지46 | 1000스텝 | 배송 43/46 | 재적재  7 | 중계율 0.30 | alpha 0.170 | step_limit
Ep 13 | 드론4 목적지25 |  855스텝 | 배송 25/25 | 재적재  2 | 중계율 0.45 | alpha 0.182 | complete
Ep 14 | 드론3 목적지54 | 1000스텝 | 배송 49/54 | 재적재  8 | 중계율 0.34 | alpha 0.195 | step_limit
Ep 15 | 드론3 목적지66 | 1000스텝 | 배송 55/66 | 재적재  9 | 중계율 0.19 | alpha 0.210 | step_limit
